"QMS MASTER LIST DOCUMENTS, POSTERS, AND FORMS",,,,,,
TITLE,CODE,Department,Version,Date,Record Retention Length,Summary of Changes (if needed)
AGC Employee Payroll Info Form,HR Form 6,HR,1.0,8/18/2025,3 years after end of employment,
ACG New Employee Onboarding Checklist,HR Form 7,HR,1.4,8/18/2025,one year after end of employment,
AGC Blank Training Tracker,HR Form 8,HR,1.0,8/18/2025,ten years,
CNC Training Form,HR Form 11,HR,1.0,12/20/2024,ten years,
Cutting Table Evaluation Form,HR Form 12,HR,1.0,12/19/2024,ten years,
Layup Evaluation Form,HR Form 13,HR,1.0,12/20/2024,ten years,
CNC Evaluation Form,HR Form 14,HR,1.0,12/20/2024,ten years,
Corrective Action Process Evaluation Form,HR Form 15,HR,1.0,12/20/2024,ten years,
Consent for Electronic Signatures and Communications,HR Form 17,HR,1.0,5/6/2025,one year after end of employment,
Mold Assembly Training Certification,HR Form 16,HR,1.0,5/2/2025,3 years after end of employment,
Cutting Table Training Certification,HR Form 9,HR,1.1,5/7/2025,3 years after end of employment,
Layup Training Certification,HR Form 10,HR,1.2,5/19/2025,3 years after end of employment,
Cores Training Certification,HR Form 18,HR,1.0,5/7/2025,3 years after end of employment,
Break Out Training Certification,HR Form 19,HR,1.0,5/8/2025,3 years after end of employment,
Oven Training Cerification,HR Form 20,HR,1.0,5/8/2025,3 years after end of employment,
Mold Maintenance Training Certification,HR Form 21,HR,1.0,5/8/2025,3 years after end of employment,
Finish Training Certification,HR Form 22,HR,1.0,5/8/2025,3 years after end of employment,
QC Aerospace Training Certification,HR Form 23,HR,1.0,5/19/2025,3 years after end of employment,
Tube Procedure Training Certification,HR Form 24,HR,1.0,5/21/2025,3 years after end of employment,
Lathe Compression Wrap Training Certification,HR Form 25,HR,1.0,5/27/2025,3 years after end of employment,
Business Manager – ISOAERO Production Operations,HR Form 26,HR,1.0,8/28/2025,5 Years,
CNC Machine Operator,HR Form 27,HR,1.0,8/28/2025,5 Years,
Composite Lay-Up Technician,HR Form 28,HR,1.0,8/28/2025,5 Years,
Finishing Technician,HR Form 29,HR,1.0,8/28/2025,5 Years,
Mold Assembly/Disassembly Technician,HR Form 30,HR,1.0,8/28/2025,5 Years,
Production Manager – ISOAERO Composite Manufacturing,HR Form 31,HR,1.0,8/28/2025,5 Years,
Quality Control & Shipping Technician,HR Form 32,HR,1.0,8/28/2025,5 Years,
Quality Manager – ISOAERO Composite Manufacturing,HR Form 33,HR,1.0,8/28/2025,5 Years,
Safety Training Certification,HR Form 34,HR,1.0,9/11/2025,5 Years,
Equipment Agreement,IN Form 1,HR,2.0,7/24/2025,one year after end of employment,
Supplier Evaluation Form V1.1.pdf,IN Form 2,Quality,1.0,5/28/2025,10 yrs,added question #17
Paint Booth Maintenance Checklist,PA Form 1,Paint,1.0,6/24/2025,3 years,
Forend Metal Size Guide,PG DOC 1,Plugging,1.1,6/24/2025,N/A,
Pillar Screw Height Guide,PG DOC 2,Plugging,1.1,6/24/2025,N/A,
Plugging/Layup Daily Production,PG Form 2,Plugging,1.0,6/24/2025,60 days,
