AG Part#,SKU,Name,Type,Source,Supplier Part #,Secondary Supplier Part #,Cost per,Purchase Unit,Usage Qty per Unit,Usage Unit,COGS per Unit,Order Date,Department,Secondary Source,Notes,Stock Item,Utilized In
512,,Tumbler Fluid- General Purpose VF-77T,,C&M Topline,,,,,,,,,,,,No,
513,,Tumbler Media- Gray 5/8 x 1 5/8,,C&M Topline,ACC58-118M,,,,,,,,,,,No,
514,,Tumbler Media- Green 1 1/2 x 1,,C&M Topline,WG112-1X,,,,,,,,,,,No,
516,,Uline Trash Can Dolly,,Uline,H-7928,,,,,,,,,,,No,
517,,Uline Ultra AAA Alkaline Batteries 24/pack,,Uline,S-22762,,,,,,,,,,,No,
518,,Uline Ultra LR44 Coin Cell Batteries 5/pack,,Uline,S-23538,,,,,,,,,,,No,
519,,Vacuum Bagging Material- Nylon - WL7400- 36,,Fiberglass Supply,M13-7879,,,,,,,,PL2,,,No,
522,,Visegrips,,Lowe's,,,,,,,,,,,,No,
523,,Walkie Talkie Radios- Retevis RT22,,Amazon,,,46.99,,,,,,,,,No,
529,,Washer- MILSPEC 5/8 cadmium plated,,McMaster,95229A600,,,,,,,,,,,No,
530,,Washers- black nylon,,Seastrom,5610-547-15-BLK,,,,,,,,general tasks,,,No,
531,,Wedges- clear plastic 2.39 x 3.52,,Amazon,,,14.99,,,,,,tubes,,,No,
472,,Wing Assembly,,StrataG,,,,,,,,,,,,No,
532,,Wood Carving Tools- set,,Amazon,,,,,,,,,QC,,,No,
567,,Wood- Finnish Birch 24 x 48 x 5mm,,Aircraft Spruce & Specialty,02-20750,,,,,,,,,,,No,
535,,Ziploc Bags- gallon storage,,Home Depot,204236317,,,,,,,,cutting table,,,No,
537,,Ziploc Bags- red for FG (min. 9 x 12),,Amazon,,,,,,,,,cutting table,,,No,
538,,Zolatone Black,,Auto Body Toolmart,1807714,,,,,,,,,,,No,
539,,Zolatone Charcoal/Lilith Gray,,Auto Body Toolmart,1701096,,,,,,,,,,,No,
540,,Zyvax Mold Sealer,,Composites One,214309,,,,,,,,,,,No,
541,,Zyvax Surface Cleaner,,Composites One,214312,,,,,,,,,,,No,
569,,electric foam cutting tool,,Uline,H-11291,,,,,,,,,,,No,
