AG Part#,SKU,Name,Type,Source,Supplier Part #,Secondary Supplier Part #,Cost per,Purchase Unit,Usage Qty per Unit,Usage Unit,COGS per Unit,Order Date,Department,Secondary Source,Notes,Stock Item,Utilized In
194,,Hand Cleaner- Triton X-Heavy Duty,,N AL Chemical,BET-79331-00,,131.6,,,,,,,,,No,
195,,Hand Sanitizer- ULIine- 1 gal,,Uline,S-23797,,,,,,,,,,,No,
196,,Hand Sanitizer- Uline- 68 oz,,Uline,S-20118,,,,,,,,,,,No,
197,,Hand Soap- Azure foam for dispenser,,N AL Chemical,DEB-AZUIL,,,,,,,,,,,No,
199,,Heavy Duty Extension Cord - 25',,Uline,S-16890,,,,,,,,,,,No,
560d,,Horizontal Foam Core,,AG,,,,,,,,,Layup,,,No,
202,,Icing Polyester Putty,,English Color,26006,,,,,,,,PL1,PL2,,No,
207,,Knife - Quick Change Blue,,Uline,H-4288,,,,,,,,,,,No,
208,,Kraft Paper Roll- 24 x 1200,,Uline,S-3575,,,,,,,,,,,No,
209,,Kraft Paper Roll- 48 x 1200',,Uline,S-5157,,,,,,,,shipping,,,No,
210,,Label Printer- Brother P-Touch,,Uline,H-5135,,,,,,,,,,,No,
213,,Label Tape Brother P-Touch yellow-1/2,,Uline,S-18423,,,,,,,,,,,No,
211,,Label Tape- Brother P-Touch orange- 3/4,,Uline,S-22510,,,,,,,,,,,No,
212,,Label Tape- Brother P-Touch white- 3/4,,Uline,S-16117,,,,,,,,,,,No,
214,,Labels Thermal for barcodes,,Labels Direct,LD2515DT15PWI,,,,,,,,,,,No,
215,,Laquer Thinner,,Southeast Auto Parts,,,,,,,,,,,,No,
216,,Large Popsicle Sticks,,Uline,S-19178,,,,,,,,,,,No,
217,,Make-up Applicator,,Amazon,,,,,,,,,finish,,,No,
218,,Mat- 2' x 4',,Uline,H-5940,,,,,,,,,,,No,
AG-001,,Material Test Report,,N/A,N/A,,,,,,,,,,,No,
587,,Metal Cut-off Disc 3,,,,,,,,,,,,,,No,
237,,Metal tube- aluminum 11OD x 1 wall x 72 6061,,LMS Metal,,,,,,,,,,,,No,
242,,Metal- aluminum 1 3/4 x 4 x 21 6061,,LMS,,,,,,,,,,,,No,
225,,Metal- aluminum 5/8 x 12 1/2 x 12 1/2 6061,,LMS Metal,,,,,,,,,,,,No,
241,,Metal-aluminum 1 3/4 x 4 x 20 6061,,LMS,LMS,,,,,,,,for subs (2 pieces for LA),PL3,,No,
249,,Milling Insert  .5 square x .187 thick x 20 deg side x .218 hole,,MariTool,SEHT1204AFFN CX10,,,,,,,,PL3,,,No,
250,,Mixer- 1.5 HP for plugging,,Webstaurant,541CMIX20,,,,,,,,PL1,,,No,
252,,Mixing Container 1 qt,,Uline,S-22982,,,,,,,,,,,No,
253,,Mixing Cups- case,,English Color,A75,,,,,,,,,,,No,
254,,Mixing Wand for Pro-Set (plastic tips),,Composites One,560371,,,,,,,,,,,No,
251,,Mixing bowl- 20 qt stainless steel,,Webstaurant,177MX20BOWL,,,,,,,,PL1,,,No,
259,,Nut- 10-32 Hex,,McMaster,90480A195,,,,,,,,,,,No,
261,,Oil- Haas axis lube oil,,,,,,,,,,,PL3,,,No,
262,,Oil- Hertz SmartOil 6000 Rotary Screw Compressor,,Compressed Air USA,1315102200,,,,,,,,,,,No,
263,,Oil- Spindle- Mobil 5 gal,,Grainger,5ZN14,,,,,,,,PL1,PL3,,No,
265,,Oven Gloves,,Amazon,X002RKEP17,,,,,,,,plugging,PL2,,No,
327,,PIcnic Table- 6 wooden,,Uline,H-2999,,,,,,,,,,,No,
266,,Packing List Pouches,,ULine,S-750,,,,,,,,Shipping,,,No,
267,,Packing List Sleeve,,N AL Chemical,,,,,,,,,Shipping,,,No,
268,,Packing Peanuts,,American Paper & Twine,030880,,,,,,,,Shipping,,,No,
269,,Pail Pump- Stainless Steel,,Uline,H-4897,,,,,,,,,,,No,
271,,Paint Booth Filter (for air dryer in back) DeVilbiss 130504,,Amazon,,,,,,,,2001-02-01,,,,No,
272,,Paint Brushes - 3 ,,Amazon,,,19.79,,,,,,,,,No,
274,,Paint Can Mixing Lid- gallon,,,,,,,,,,,,,,No,
273,,Paint Can- pint size no handle,,Uline,S-15743,,,,,,,,,,,No,
275,,Paint Gun Cup Disposable Inserts,,English Color,16000,,,,,,,,,,,No,
276,,Paint Gun Cup- Iwata Airgunsa 600cc (Duratec),,Auto Color Warehouse,iw9131,,,,,,,,,,,No,
277,,Paint Gun Regulator Valve- Le Lematec,,Amazon,X002F9W4YP,,,,,,,,,,,No,
278,,Paint Gun Repair Kit,,USA Tools,9166,,,,,,,,,,,No,
279,,Paint Gun- Iwata  IWA-9230 1.3MM tip w/cup,,Amazon,9230,,,,,,,,,,,No,
280,,Paint Gun- Iwata IWA9233 Spray Gun,,Amazon,9233,,,,,,,,,,,No,
281,,Paint Gun- Starting Line- gravity,,Summit Racing,DVR-802343,,,,,,,,,,,No,
282,,Paint Markers (Black),,Uline,S-20622BL,,,,,,,,,,,No,
283,,Paint Matte Clear,,English Color,82-55-1,,,,,,,,,,,No,
285,,Paint Mixing/Measuring Cups (100/case),,English Color,A75,,,,,,,,,,,No,
286,,Paint PPS System (lids & liners),,English Color,16000,,,,,,,,,,,No,
287,,Paint Pour Lid- Gallon,,Amazon,,,,,,,,,,,,No,
288,,Paint Pour Lid- quart,,Amazon,,,,,,,,,,,,No,
290,,Paint Sticks,,English Color,PADDLES,,,,,,,,,,,No,
291,,Paint Strainers,,Southeast Auto Parts,,,,,,,,,,,,No,
292,,Paint Texture,,,,,,,,,,,,,,No,
293,,Paint Thinner,,Southeast Auto Parts,OMNI10-5,,,,,,,2001-02-01,,,,No,
283a,,Paint matte clear activator (hi-temp hardener),,English Color,421,,,,,,,,,,,No,
283c,,Paint matte clear normal activator,,English Color,30-72-1,,,,,,,,,,,No,
294,,Paint- At Ease Soldier,,Sherwin Williams PO,F63TXA13540-2252,,,,,,,,,,,No,
295,,Paint- Beige Gun,,Sherwin Williams,F63TX434049,,,,,,,,,,,No,
296,,Paint- Blue,,Sherwin Williams,F63TXL12721,,,,,,,,,,,No,
297,,Paint- Dead Flat Black,,Sherwin Williams PO,F63B7,,,,,,,,,,,No,
298,,Paint- Desert Tan,,Sherwin Williams,F63TX413595-2252,,,,,,,,,,,No,
299,,Paint- Garden Path,,Sherwin Williams PO,F63TXA13541-2252,,,,,,,,,,,No,
300a,,Paint- Glamour Activator,,English Color,PR285,,,,,,,,,,,No,
300,,Paint- Glamour Euro,,English Color,PR205,,,,,,,,,,,No,
302,,Paint- Gray,,Sherwin Williams PO,F63TXA36118,,,,,,,,,,,No,
303,,Paint- Gunstock Brown,,Sherwin Williams PO,F63TXN12444,,,,,,,,,,,No,
304,,Paint- Hyper Blue,,Sherwin Williams PO,F63TXL13318,,,,,,,,,,,No,
305,,Paint- Iron Gate,,Sherwin Williams PO,F63TXA13542-2252,,,,,,,,,,,No,
306,,Paint- Navel (Orange),,Sherwin Williams PO,F63TXE32473,,,,,,,,,,,No,
307,,Paint- Olive D Green,,Sherwin Williams PO,F63TXG12834,,,,,,,,,,,No,
308,,Paint- Peppercorn,,Sherwin Williams PO,F63TXA13181,,,,,,,,,,,No,
309a,,Paint- Primer 4:1 2K,,English Color,361Q,,,,,,,,,,,No,
309,,Paint- Primer Urethane 4:1 2K,,English Color,36G,,,,,,,,,,,No,
311,,Paint- Red,,Sherwin Williams PO,F63TXR31350,,,,,,,,,,,No,
283b,,Paint- Reducer,,English Color,114,,,,,,,,,,,No,
313,,Paint- Sage Green,,Sherwin Williams,F63TX613594-2252,,,,,,,,,,,No,
314,,Paint- Sample Jar 1oz,,Specialty Bottle,FSQ1,,,,,,,,paint,,,No,
315,,Paint- Tan Match,,Sherwin Williams PO,F63TXH12576,,,,,,,,,,,No,
316,,Paint- Toxic Green,,Sherwin Williams PO,F63TXG38901,,,,,,,,,,,No,
317,,Paint- Tungsten Match,,Sherwin Williams PO,F63TXA13047 Include # R274,,,,,,,,,,,No,
318,,Paint- Urban (Acier),,Sherwin Williams PO,F63TXA13049,,,,,,,,,,,No,
319,,Paint- White,,Sherwin Williams PO,F63TXW37925,,,,,,,,,,,No,
320,,Paint- Woodland Tan,,Sherwin Williams PO,F63TXH15361,,,,,,,,,,,No,
321,,Paint- Yellow,,Sherwin Williams PO,F63TXY33655,,,,,,,,,,,No,
322,,Panel Bond 6030,,English Color,6030,,,,,,,,,,,No,
323,,Panel Bond 6030 Dispenser,,English colors,6000,,,,,,,,,,,No,
324,,Paper Towels- brown roll,,American Paper & Twine,460032,,,,,,,,,,,No,
325,,Paper Towels- white kitchen (30 rolls/case),,American Paper & Twine,023608,,,,,,,,,,,No,
326,,Partall Paste Wax- 7 lb tub,,US Composites,REX-270,,,,,,,,plugging,,,No,
328,,Pigment- black,,US Composites,BL128,,,,,,,,,,,No,
334,,Plastic Scoop - 2 Quart,,Uline,H-879,,,,,,,,,,,No,
335,,Plastic Smoker's Receptacle - Beige,,Uline,H-1103BE,,,,,,,,,,,No,
340,,Primer- gray 4:1:1,,English colors,4200,,,,,,,,,,,No,
341,,Pro-Set Epoxy PSI ADV 175/273,,Composites One,605432,,,,,,,,,,,No,
342,,Pro-Set Manual Dispensing Gun,,Chemical Concepts,LOR3029937,,,,,,,,,Composites One,301853,No,
344,,Propane,,Sexton Welding,UN1075,,,,,,,,,,,No,
345,,Punch Set- drive pin misc. sizes,,Amazon,X0038XE4JZ,,,,,,,,,,,No,
346,,Q-Tip Applicators / Cotton Swabs,,Uline,S-18991-S1,,,,,,,,,,,No,
343,,QD Cup (rotating BL),,GrovTec PO,720201,,,,,,,,,,,No,
347,,QD Cups (hex special) Hollow Stock Push Button,,GrovTec/ AG Comp,720251F,,,,,,,,,,,No,
348,,Radio- Two-Way Retevis,,Amazon,X001COE7NP,,,,,,,,,,,No,
350,,Red Pillar Caps T-2,,McMaster,4491K136,,,,,,,,,,,No,
568,,Release film- 60.001 perforated,,Aircraft Spruce & Specialty,01-01528,,,,,,,,,,,No,
351,,Respirator 6502- 3M Half (Large),,Uline,H-4987,,,,,,,,,,,No,
352,,Respirator 6502- 3M Half (Medium),,Uline,H-4986,,,,,,,,,,,No,
353,,Respirator Filter 6502- 3M,,Uline,S-19184,,,,,,,,,,,No,
355,,Rod- 3 all thread 1/2 - 13,,McMaster,98750A103,,,,,,,,,,,No,
357,,Rod- 5 all thread 1/2 - 13,,Fastener Superstore,935660,,,,,,,,plugging,McMaster,98750A109,No,
359,,Rolling Step Stool - Red,,Uline,H-7846R,,,,,,,,,,,No,
361,,Router bit- XMHF 1/2 diamond profile,,Amazon,X001VC2K2N,,,,,,,,PL3,,,No,
362,,Rubber Bands- Business Source,,Amazon,,,,,,,,,,,,No,
363,,Rubber Mallet,,Uline,H-2215,,,,,,,,,,,No,
572b,,Rudder foam core,,,,,,,,,,,,,,No,
364,,Rustoleum Flat Black Enamel oil paint,,Home Depot,,,79.96,,,,,,,,,No,
366,,Safety Glasses,,Uline,S-15373,,,,,,,,,Global Industrial,T9F708119,No,
367,,Safety Goggles,,JB Tools,JB-SRX-S81220X,,,,,,,,,,,No,
368,,Safety Goggles Lens Covers,,JB Tools,SAS-5111,,,,,,,,,,,No,
371,,Sand Paper 120 Grit Mirka sheets,,English colors,,,,,,,,,,,,No,
372,,Sand Paper 180 grit sheets - dry,,McMaster,4724A138,,,,,,,,,,,No,
373,,Sand Paper 180 grit sheets - wet/dry 15 pack,,Amazon,,,,,,,,,,,,No,
374,,Sand Paper 220 grit sheets,,English Color,08111,,,,,,,,,,,No,
375,,Sand Paper 400 grit sheets,,English Color,08116,,,,,,,,,,,No,
376,,Sand Paper 600 grit sheets - dry,,,,,,,,,,,,,,No,
379,,Sand Paper 80 Grit Roll- 2.75 x 12 yards,,Amazon,B08GFMYKQZ,,,,,,,,,,,No,
377,,Sand Paper 80 grit - dry,,McMaster,,,,,,,,,,,,No,
381,,Sand Paper- 36 Grit belt,,McMaster,4744A614,,,,,,,,,,,No,
370,,Sand paper 120 Grit Mirka sheets,,Amazon,,,25.17,,,,,,,,,No,
369,,Sand paper 120 grit MAXMAN purple (preferred),,Amazon,,,,,,,,,,,,No,
382,,Sandblaster Media: 80 grit Blastite pallet = 500#s,,Brandt,Blastite 80,,,,,,,,PL1,,,No,
392,,Sandblaster part: pulley system,,Brandt Industries,WB6061C-S22C,,,,,,,,PL1,,,No,
396,,Sandblaster rubber twist tie - 24,,Amazon,X003DURLCF,,,,,,,,PL1,,,No,
401,,Sanding Disc 1000 grit 6 hook and loop (pack of 10),,McMaster,4321A33,,,,,,,,mold cleaning,,,No,
402,,Sanding Disc 120 grit 6 hook n loop ,,English Color,82408,,,,,,,,PL1,,,No,
403,,Sanding Disc 180 grit 6 hook & loop (Gold Pro),,English Color,USC082410,,,,,,,,PL1,,,No,
404,,Sanding Disc 220 Grit 12 Cloth Back,,McMaster,4700A752,,,,,,,,PL1,,,No,
405,,Sanding Disc 220 grit 6 hook and loop,,English Color,82411,,,,,,,,,,,No,
594,,Sanding Disc 320 grit 6 hook and loop,,,,,,,,,,,,,,No,
406,,Sanding Disc 36 grit 12 Cloth Back,,McMaster,4700A751,,,,,,,,PL1,,,No,
407,,Sanding Disc 80 grit 6 hook n loop ,,English Color,82406,,,,,,,,PL1,,,No,
